Move,Score
1,0
2,4
3,8
4,8
5,8
6,8
7,8
8,8
9,12
10,24
11,32
12,32
13,36
14,36
15,40
16,72
17,72
18,72
19,72
20,76
21,80
22,88
23,92
24,92
25,92
26,92
27,96
28,108
29,108
30,112
31,120
32,140
33,148
34,164
35,168
36,172
37,176
38,184
39,184
40,184
41,188
42,220
43,224
44,224
45,228
46,228
47,248
48,296
49,296
50,300
51,304
52,308
53,324
54,324
55,324
56,324
57,324
58,324
59,324
60,328
61,340
62,356
63,360
64,360
65,360
66,364
67,364
68,368
69,376
70,380
71,392
72,408
73,440
74,508
75,508
76,508
77,508
78,508
79,512
80,532
81,540
82,540
83,572
84,572
85,576
86,576
87,580
88,596
89,596
90,600
91,608
92,616
93,616
94,616
95,620
96,628
97,644
98,648
99,648
100,684
101,688
102,696
103,700
104,700
105,724
106,732
107,736
108,736
109,736
110,736
111,740
112,740
113,752
114,752
115,752
116,752
117,752
118,768
119,768
120,768
121,768
122,768
123,768
124,768
125,768
126,768
127,768
128,768
129,768
130,768
131,768
132,768
133,768
134,768
135,768
136,768
137,768
138,768
139,768
140,768
141,768
142,768
143,768
144,768
145,768
146,768
147,768
148,768
149,768
150,768
151,768
152,768
153,768
154,768
155,768
156,768
157,768
158,768
159,768
160,768
161,768
162,768
163,768
164,768
165,768
166,768
167,768
168,768
169,768
170,768
171,768
172,768
173,768
174,768
175,768
176,768
177,768
178,768
179,768
180,768
181,768
182,768
183,768
184,768
185,768
186,768
187,768
188,768
189,768
190,768
191,768
192,768
193,768
194,768
195,768
196,768
197,768
198,768
199,768
200,768
201,768
202,768
203,768
204,768
205,768
206,768
207,768
208,768
209,768
210,768
211,768
212,768
213,768
214,768
215,768
216,768
217,768
218,768
219,768
220,768
221,768
222,768
223,768
224,768
225,768
226,768
227,768
228,768
229,768
230,768
231,768
232,768
233,768
234,768
235,768
236,768
237,768
238,768
239,768
240,768
241,768
242,768
243,768
244,768
245,768
246,768
247,768
248,768
249,768
250,768
251,768
252,768
253,768
254,768
255,768
256,768
257,768
258,768
259,768
260,768
261,768
262,768
263,768
264,768
265,768
266,768
267,768
268,768
269,768
270,768
271,768
272,768
273,768
274,768
275,768
276,768
277,768
278,768
279,768
280,768
281,768
282,768
283,768
284,768
285,768
286,768
287,768
288,768
289,768
290,768
291,768
292,768
293,768
294,768
295,768
296,768
297,768
298,768
299,768
300,768
301,768
302,768
303,768
304,768
305,768
306,768
307,768
308,768
309,768
310,768
311,768
312,768
313,768
314,768
315,768
316,768
317,768
318,768
319,768
320,768
321,768
322,768
