Move,Score
1,4
2,4
3,8
4,16
5,20
6,20
7,24
8,24
9,24
10,28
11,36
12,36
13,56
14,56
15,60
16,64
17,64
18,64
19,68
20,68
21,68
22,80
23,88
24,112
25,160
26,164
27,164
28,164
29,164
30,168
31,172
32,184
33,200
34,204
35,212
36,216
37,240
38,276
39,276
40,340
41,340
42,344
43,356
44,360
45,368
46,372
47,372
48,388
49,392
50,396
51,396
52,404
53,404
54,408
55,408
56,408
57,408
58,412
59,416
60,420
61,420
62,420
63,424
64,424
65,424
66,428
67,436
68,440
69,440
70,444
71,444
72,464
73,492
74,500
75,516
76,516
77,552
78,552
79,552
80,552
81,552
82,552
83,560
84,560
85,584
86,600
87,600
88,604
89,636
90,652
91,716
92,844
93,844
94,852
95,868
96,868
97,868
98,872
99,876
100,876
101,880
102,892
103,892
104,892
105,892
106,892
107,896
108,896
109,936
110,952
111,956
112,956
113,956
114,1000
115,1004
116,1004
117,1008
118,1012
119,1036
120,1036
121,1068
122,1068
123,1132
124,1136
125,1136
126,1140
127,1152
128,1152
129,1176
130,1192
131,1192
132,1192
133,1192
134,1200
135,1216
136,1248
137,1260
138,1260
139,1260
140,1260
141,1272
142,1272
143,1288
144,1296
145,1300
146,1308
147,1312
148,1340
149,1340
150,1340
151,1344
152,1344
153,1344
154,1348
155,1356
156,1356
157,1360
158,1384
159,1384
160,1388
161,1392
162,1424
163,1496
164,1512
165,1648
166,1648
167,1912
168,1916
169,1960
170,1960
171,1960
172,1960
173,1968
174,1968
175,1972
176,1988
177,2008
178,2016
179,2020
180,2020
181,2020
182,2024
183,2028
184,2028
185,2028
186,2040
187,2068
188,2116
189,2120
190,2132
191,2148
192,2180
193,2248
194,2248
195,2252
196,2252
197,2256
198,2256
199,2264
200,2264
201,2272
202,2276
203,2288
204,2296
205,2300
206,2300
207,2300
208,2316
209,2324
210,2324
211,2324
212,2332
213,2332
214,2332
215,2336
216,2336
217,2340
218,2344
219,2352
220,2352
221,2352
222,2380
223,2380
224,2384
225,2392
226,2396
227,2396
228,2424
229,2460
230,2460
231,2460
232,2464
233,2464
234,2480
235,2484
236,2484
237,2488
238,2516
239,2516
240,2536
241,2568
242,2640
243,2772
244,2772
245,2776
246,2776
247,2780
248,2788
249,2792
250,2804
251,2804
252,2836
253,2840
254,2880
255,2884
256,2884
257,2884
258,2884
259,2884
260,2892
261,2896
262,2896
263,2904
264,2932
265,2932
266,2932
267,2940
268,2948
269,2948
270,2948
271,2948
272,2984
273,2992
274,2996
275,3060
276,3060
277,3064
278,3064
279,3068
280,3080
281,3080
282,3080
283,3084
284,3084
285,3084
286,3116
287,3116
288,3120
289,3144
290,3144
291,3180
292,3180
293,3180
294,3244
295,3248
296,3260
297,3268
298,3284
299,3288
300,3296
301,3312
302,3316
303,3320
304,3328
305,3344
306,3344
307,3344
308,3344
309,3348
310,3348
311,3352
312,3352
313,3356
314,3356
315,3356
316,3360
317,3368
318,3368
319,3368
320,3368
321,3368
322,3368
323,3368
324,3368
325,3368
326,3368
327,3368
328,3368
329,3368
330,3368
331,3368
332,3368
333,3368
334,3368
335,3368
336,3368
337,3368
338,3368
339,3368
340,3368
341,3368
342,3368
343,3368
344,3368
345,3368
346,3368
347,3368
348,3368
349,3368
350,3368
351,3368
352,3368
353,3368
354,3368
355,3368
356,3368
357,3368
358,3368
359,3368
360,3368
361,3368
362,3368
363,3368
364,3368
365,3368
366,3368
367,3368
368,3368
369,3368
370,3368
371,3368
372,3368
373,3368
374,3368
375,3368
376,3368
377,3368
378,3368
379,3368
380,3368
381,3368
382,3368
383,3368
384,3368
385,3368
386,3368
387,3368
388,3368
389,3368
390,3368
391,3368
392,3368
393,3368
394,3368
395,3368
396,3368
397,3368
398,3368
399,3368
400,3368
