Move,Score
1,0
2,4
3,4
4,8
5,12
6,20
7,20
8,24
9,24
10,28
11,40
12,48
13,64
14,64
15,64
16,64
17,64
18,68
19,76
20,100
21,132
22,164
23,164
24,164
25,164
26,168
27,168
28,176
29,188
30,196
31,196
32,196
33,200
34,204
35,212
36,228
37,264
38,276
39,356
40,360
41,360
42,368
43,372
44,372
45,372
46,380
47,384
48,392
49,396
50,404
51,420
52,420
53,420
54,424
55,424
56,428
57,436
58,436
59,472
60,480
61,484
62,484
63,484
64,492
65,492
66,512
67,544
68,552
69,592
70,660
71,788
72,788
73,816
74,816
75,816
76,816
77,816
78,820
79,832
80,836
81,860
82,896
83,896
84,896
85,900
86,908
87,908
88,912
89,912
90,916
91,932
92,932
93,956
94,972
95,1008
96,1072
97,1080
98,1084
99,1084
100,1092
101,1100
102,1100
103,1100
104,1104
105,1116
106,1140
107,1156
108,1160
109,1192
110,1196
111,1204
112,1208
113,1216
114,1236
115,1240
116,1248
117,1252
118,1252
119,1252
120,1256
121,1264
122,1284
123,1324
124,1388
125,1516
126,1776
127,1776
128,1780
129,1780
130,1788
131,1788
132,1792
133,1804
134,1820
135,1820
136,1820
137,1824
138,1836
139,1836
140,1864
141,1872
142,1904
143,1912
144,1912
145,1912
146,1936
147,1944
148,1960
149,1996
150,2060
151,2060
152,2068
153,2068
154,2076
155,2080
156,2088
157,2096
158,2096
159,2096
160,2100
161,2108
162,2124
163,2124
164,2128
165,2140
166,2156
167,2156
168,2192
169,2192
170,2196
171,2208
172,2216
173,2220
174,2240
175,2248
176,2252
177,2260
178,2276
179,2308
180,2376
181,2512
182,2516
183,2520
184,2520
185,2520
186,2528
187,2528
188,2532
189,2556
190,2560
191,2568
192,2588
193,2620
194,2620
195,2620
196,2624
197,2628
198,2636
199,2640
200,2644
201,2652
202,2668
203,2680
204,2684
205,2692
206,2708
207,2740
208,2808
209,2808
210,2808
211,2808
212,2808
213,2824
214,2836
215,2836
216,2836
217,2860
218,2860
219,2864
220,2876
221,2876
222,2892
223,2896
224,2904
225,2908
226,2916
227,2932
228,2972
229,2976
230,2976
231,2980
232,2992
233,2992
234,2996
235,2996
236,2996
237,3000
238,3012
239,3028
240,3060
241,3128
242,3256
243,3512
244,4028
245,4028
246,4032
247,4040
248,4052
249,4076
250,4076
251,4080
252,4104
253,4140
254,4140
255,4140
256,4144
257,4156
258,4156
259,4168
260,4184
261,4184
262,4188
263,4196
264,4212
265,4252
266,4260
267,4324
268,4324
269,4328
270,4336
271,4340
272,4348
273,4368
274,4368
275,4368
276,4376
